Headquarters Location - Split 1,Headquarters Location - Split 2,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Weight,Price,Chg,% Chg,State,Abbrev,Code,Weight_rank
Cupertino,California,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977,5.647607,   122.15,-3.76,(-2.99%),California,Calif.,CA,1
Redmond,Washington,MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",6/1/94,789019,1975,5.259655,   238.23,-8,(-3.25%),Washington,Wash.,WA,2
Seattle,Washington,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1018724,1994,3.852847,"   3,147.21",-76.7,(-2.38%),Washington,Wash.,WA,3
Menlo Park,California,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/13,1326801,2004,2.076443,   301.58,-4.95,(-1.61%),California,Calif.,CA,4
Mountain View,California,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/14,1652044,1998,1.944478,"   2,185.49",-84.57,(-3.73%),California,Calif.,CA,5
Mountain View,California,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/06,1652044,1998,1.904296,"   2,227.01",-81.75,(-3.54%),California,Calif.,CA,6
Omaha,Nebraska,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983,1839,1.572538,   280.75,-4.88,(-1.71%),Nebraska,Nebr.,NE,7
New York,New York,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",6/30/75,19617,1799,1.387963,   156.00,-2.54,(-1.60%),New York,N.Y.,NY,8
Palo Alto,California,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",12/21/20,1318605,2003,1.362749,   578.70,-38.5,(-6.24%),California,Calif.,CA,9
New Brunswick,New Jersey,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/73,200406,1886,1.262757,   167.40,-1.48,(-0.88%),New Jersey,N.J.,NJ,10
Minnetonka,Minnesota,UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766,1977,1.122512,   405.37,-6.33,(-1.54%),Minnesota,Minn.,MN,11
San Francisco,California,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",12/21/09,1403161,1958,1.08131,   218.70,-6.78,(-3.01%),California,Calif.,CA,12
Atlanta,Georgia,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/88,354950,1978,1.036111,   315.35,-15.31,(-4.63%),Georgia,Ga.,GA,13
Santa Clara,California,NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",11/30/01,1045810,1993,0.998142,   546.00,-26.25,(-4.59%),California,Calif.,CA,14
Cincinnati,Ohio,PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",3/4/57,80424,1837,0.956435,   135.04,-1.95,(-1.42%),Ohio,Ohio,OH,15
Burbank,California,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",6/30/76,1744489,1923,0.943863,   175.50,-6.17,(-3.40%),California,Calif.,CA,16
Harrison,New York,MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",7/18/08,1141391,1966,0.90619,   353.49,-14.12,(-3.84%),New York,N.Y.,NY,17
Charlotte,North Carolina,BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,70858,1874,0.901289,   40.78,-0.79,(-1.90%),North Carolina,N.C.,NC,18
San Jose,California,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/15,1633917,1998,0.805003,   237.10,-11.5,(-4.63%),California,Calif.,CA,19
Irving,Texas,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/57,34088,1999,0.747442,   58.60,-1.99,(-3.28%),Texas,Tex.,TX,20
Philadelphia,Pennsylvania,CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/02,1166691,1963,0.741685,   56.78,-0.72,(-1.25%),Pennsylvania,Pa.,PA,21
New York,New York,VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/83,732712,1877,0.694885,   58.05,-0.49,(-0.84%),New York,N.Y.,NY,22
Dallas,Texas,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",,732717,1885,0.656536,   31.73,-0.53,(-1.64%),Texas,Tex.,TX,23
San Jose,California,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/97,796343,1982,0.648266,   471.99,-13.2,(-2.72%),California,Calif.,CA,24
Santa Clara,California,INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/76,50863,1968,0.641575,   53.49,-1.55,(-2.82%),California,Calif.,CA,25
San Jose,California,CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",12/1/93,858877,1984,0.633179,   51.50,-1.33,(-2.52%),California,Calif.,CA,26
New York,New York,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",3/4/57,78003,1849,0.627237,   39.41,0.06,-0.15%,New York,N.Y.,NY,27
Los Gatos,California,NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/10,1065280,1997,0.608132,   482.84,-12.24,(-2.47%),California,Calif.,CA,28
Atlanta,Georgia,KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/57,21344,1886,0.600822,   53.67,-0.65,(-1.20%),Georgia,Ga.,GA,29
San Ramon,California,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/57,93410,1879,0.595496,   105.99,-0.71,(-0.67%),California,Calif.,CA,30
North Chicago,Illinois,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/64,1800,1888,0.594458,   116.35,-2.04,(-1.72%),Illinois,Ill.,IL,31
North Chicago,Illinois,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,1551152,1888,0.579011,   114.60,-0.29,(-0.25%),Illinois,Ill.,IL,32
Purchase,New York,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",3/4/57,77476,1898,0.57107,   144.23,-1.42,(-0.97%),New York,N.Y.,NY,33
Kenilworth,New Jersey,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",3/4/57,310158,1891,0.558033,   77.50,0.04,-0.05%,New Jersey,N.J.,NJ,34
San Francisco,California,CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California",9/15/08,1108524,1999,0.553799,   208.47,-7.09,(-3.29%),California,Calif.,CA,35
Bentonville,Arkansas,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/82,104169,1962,0.550785,   135.44,-4.11,(-2.95%),Arkansas,Ark.,AR,36
San Francisco,California,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971,1852,0.543515,   45.30,-0.42,(-0.92%),California,Calif.,CA,37
Waltham,Massachusetts,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",8/3/04,97745,1902,0.51491,   454.78,-9.22,(-1.99%),Massachusetts,Mass.,MA,38
San Jose,California,AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/14,1730168,1961,0.502268,   422.00,-18.07,(-4.11%),California,Calif.,CA,39
Chicago,Illinois,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/70,63908,1940,0.498753,   226.49,-7.37,(-3.15%),Illinois,Ill.,IL,40
Washington County,Oregon,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187,1964,0.48929,   132.51,-4.61,(-3.36%),Oregon,Ore.,OR,41
Issaquah,Washington,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/93,909832,1976,0.476412,   370.00,-8.18,(-2.16%),Washington,Wash.,WA,42
Dallas,Texas,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,0.472648,   176.40,-6.8,(-3.71%),Texas,Tex.,TX,43
Charlotte,North Carolina,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",3/31/64,773840,1906,0.453148,   219.00,-10.16,(-4.43%),North Carolina,N.C.,NC,44
New York,New York,C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",5/31/88,831001,1998,0.442432,   73.68,-1.19,(-1.59%),New York,N.Y.,NY,45
Atlanta,Georgia,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/02,1090727,1907,0.438655,   209.52,-4.81,(-2.24%),Georgia,Ga.,GA,46
Indianapolis,Indiana,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,59478,1876,0.437101,   191.85,-2.9,(-1.49%),Indiana,Ind.,IN,47
Mooresville,North Carolina,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667,1904,0.435793,   195.74,-9.6,(-4.68%),North Carolina,N.C.,NC,48
Omaha,Nebraska,UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska",3/4/57,100885,1862,0.431696,   223.99,-2.62,(-1.16%),Nebraska,Nebr.,NE,49
New York,New York,PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",3/31/08,1413329,1847,0.430837,   96.22,-1.07,(-1.10%),New York,N.Y.,NY,50
Austin,Texas,ORCL,Oracle Corp.,Information Technology,Application Software,"Austin, Texas",8/31/89,1341439,1977,0.419402,   76.75,-0.94,(-1.21%),Texas,Tex.,TX,51
Juno Beach,Florida,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/76,753308,1925,0.413594,   71.06,-3.01,(-4.06%),Florida,Fla.,FL,52
San Diego,California,QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",,804328,1985,0.41325,   123.75,-4.62,(-3.60%),California,Calif.,CA,53
Thousand Oaks,California,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980,0.41164,   251.39,-0.91,(-0.36%),California,Calif.,CA,54
New York,New York,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",3/4/57,14272,1989,0.408967,   64.47,0.21,-0.33%,New York,N.Y.,NY,55
Seattle,Washington,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971,0.379647,   109.24,-4.31,(-3.80%),Washington,Wash.,WA,56
